sqft,bedrooms,bathrooms,age_years,distance_to_city_km,price
1157,3,2,31,1.7,169316
450,1,3,61,2.7,145400
1974,2,3,10,40.5,202186
1272,1,3,26,9.7,216181
1530,3,3,13,5.8,212133
1402,2,2,24,14.9,169332
1708,3,2,54,0.9,310573
2493,3,3,3,12.4,372078
1902,4,1,27,10.9,318293
1697,3,2,1,3.6,306047
1127,4,3,76,2.9,183745
711,3,2,58,6.6,169418
1484,4,1,19,11.6,236130
1765,4,2,15,12.8,225712
2949,2,1,7,18.1,358701
1885,2,3,37,1.6,305612
2439,4,3,60,2.2,374623
1475,2,1,46,10.8,136015
1030,3,2,70,1.6,134674
1173,1,3,27,0.2,177621
1329,3,3,22,1.9,234648
3184,3,1,38,2.9,387287
1266,4,2,16,2.9,227116
2345,3,2,78,9.0,268896
1213,2,2,14,8.1,230114
2406,5,1,38,4.7,396348
2050,3,1,41,10.4,275153
1698,5,3,4,5.4,316648
1774,4,1,37,8.4,274986
1374,3,1,36,25.2,142587
2090,5,1,20,11.3,291756
1504,1,1,10,2.5,197076
1003,5,1,3,1.4,216464
969,5,2,0,22.7,158550
1912,3,3,38,8.6,293933
2826,4,1,7,14.3,435977
1904,3,1,76,7.0,183217
1723,2,1,19,7.0,254165
1986,4,2,52,57.6,174972
2649,2,1,53,19.9,317442
1943,2,3,39,0.5,293396
1533,3,2,70,1.5,169742
2519,5,3,8,3.6,385029
2079,2,2,18,3.4,314787
2798,3,2,20,1.6,453338
1919,1,3,10,8.9,206296
1004,1,2,23,4.4,175115
911,1,3,25,17.4,172222
2873,1,3,61,3.5,358840
2920,5,2,24,6.0,467977
1683,5,3,70,4.4,246759
1551,5,1,61,8.5,232328
2750,1,3,72,2.3,285376
1080,1,3,8,14.1,91275
1218,2,3,78,27.4,145816
2218,3,1,49,0.6,280388
1544,2,3,78,0.2,195637
1797,3,2,28,4.3,235513
1694,1,1,76,6.2,135899
2019,4,1,47,10.4,280118
2715,2,2,5,4.3,374347
1859,1,1,32,5.0,260537
2219,4,1,11,7.4,364806
467,5,2,75,4.0,123962
1768,1,2,24,27.3,211865
1252,3,1,17,0.5,282976
1008,5,3,44,1.0,183849
1229,4,3,34,6.0,228853
1583,5,2,7,2.5,350832
2395,3,3,65,13.8,354763
938,2,2,67,3.4,82972
1820,4,1,59,1.8,259332
1485,1,1,49,1.4,242560
1587,2,3,32,7.7,259391
2452,4,3,43,1.4,386206
2150,4,3,41,4.5,330490
2669,1,1,13,9.1,339062
1700,3,1,6,10.3,279921
1348,2,1,20,3.8,205445
1654,3,1,36,0.4,257819
1958,5,1,12,3.6,342925
1915,1,2,8,4.3,262280
1095,5,1,68,5.0,201947
1859,3,3,29,2.2,406153
1948,4,2,46,33.7,174171
3436,3,1,41,11.1,456441
3020,2,2,58,0.8,369937
1245,4,3,59,0.7,242066
1613,4,1,23,4.8,272997
849,1,1,67,12.8,104031
1416,4,1,29,0.7,292442
2005,4,3,66,12.9,286546
2584,2,1,32,8.6,381035
1326,5,2,8,13.4,173499
1375,4,2,60,13.8,254212
450,2,3,2,11.1,137918
1694,1,1,61,7.6,233486
1109,4,3,3,16.7,177895
1456,2,3,16,8.0,210624
1230,4,2,48,6.8,212518
1739,3,1,75,6.0,221344
657,3,3,32,11.2,147358
846,1,1,9,2.8,189291
3184,4,2,18,34.3,346533
963,1,2,71,12.9,130436
1087,3,1,58,1.4,169390
2994,5,2,8,10.2,455602
3688,5,1,30,10.6,464890
1038,5,1,21,1.0,245015
1561,5,1,14,4.5,204312
2022,3,1,67,2.7,293007
2924,2,2,49,1.6,338971
1159,5,3,14,2.4,265103
1641,5,1,52,11.0,245795
2305,5,1,33,5.6,399470
2083,4,1,4,2.8,342921
1555,1,2,35,1.8,199806
1713,3,1,14,14.4,237501
906,3,2,19,4.9,228357
1645,5,1,70,9.7,255924
1627,2,1,56,4.4,200544
1951,2,2,10,2.4,299577
1439,1,2,68,11.2,104973
2107,5,2,45,5.8,346148
2458,4,3,69,8.3,280098
1901,1,2,59,15.1,241046
2029,3,3,27,20.6,290320
1835,3,2,42,10.2,346454
1800,3,1,42,7.8,216520
1331,5,1,57,12.7,200818
2006,1,1,19,2.6,344829
1737,2,2,26,3.1,307868
3161,1,1,19,10.5,378737
2823,2,3,23,3.1,416063
2051,5,2,12,3.0,361673
1304,5,3,2,17.0,269124
1077,1,3,75,13.5,89502
2574,4,2,5,3.2,412269
1971,2,1,71,4.8,184997
2112,1,3,0,13.9,309496
666,2,1,62,0.8,117137
2403,1,1,26,10.2,298525
2095,3,3,41,1.5,266716
1078,5,2,22,15.6,242801
1494,3,1,39,5.1,239599
1971,4,2,36,1.4,293671
1834,3,2,42,0.2,275031
1610,1,3,31,0.3,194216
1733,1,3,42,3.2,209253
1636,2,1,66,12.3,170061
1899,2,1,34,0.3,318658
2756,5,2,28,10.7,392655
450,5,1,10,17.9,152029
1646,5,1,28,3.4,269935
1915,4,1,10,10.7,314909
1992,3,1,14,0.2,315099
1558,4,3,76,1.0,273861
658,3,1,7,2.3,142928
2013,4,1,38,4.4,251592
2923,4,3,66,9.9,348173
803,4,1,76,13.9,87727
2361,4,3,11,3.8,348389
1586,1,1,13,5.8,244370
1760,4,1,29,32.1,207148
1116,2,1,44,6.3,242433
1583,4,3,76,4.3,178320
2645,3,2,16,13.8,382789
2179,5,2,13,43.7,247172
2926,2,1,20,4.3,385354
2565,5,1,69,8.8,355265
2085,5,2,2,19.7,256735
2934,2,1,30,3.6,404446
2085,3,2,9,4.7,401382
2338,3,3,12,6.2,352216
1607,4,3,73,6.9,248178
1843,4,2,0,10.7,351512
1347,5,1,25,9.6,236232
2443,2,1,73,4.4,276546
1034,3,3,48,20.5,68043
2309,3,2,5,4.6,387942
1676,5,2,37,2.2,292133
2561,2,2,77,7.8,273416
2288,3,1,32,14.7,311903
2983,1,3,42,2.5,376278
2275,5,3,42,7.2,342955
778,2,3,52,3.2,157770
1756,2,3,14,0.3,247755
1038,3,1,67,2.2,190044
1463,3,1,79,9.4,128947
2782,5,1,11,11.2,400047
2214,3,3,65,2.1,381870
1346,3,2,65,8.0,227927
1141,1,2,59,4.5,150374
1821,1,3,29,7.4,225197
1009,2,2,37,0.3,156598
1364,5,3,67,1.3,245147
2003,5,3,12,1.7,369031
2551,4,1,66,2.7,346512
2196,4,2,73,4.4,305064
450,2,3,54,4.6,84866
1998,1,3,27,4.5,237155
1847,1,1,44,1.1,225483
2069,2,1,4,23.1,304828
2851,2,2,74,3.4,308193
459,1,3,27,6.4,92000
1416,2,1,4,15.9,181680
2184,1,2,63,1.1,279879
772,4,1,52,6.7,126501
2759,5,1,49,4.0,453971
2039,4,2,4,13.4,347321
2350,3,2,60,5.3,273521
1429,3,2,50,3.5,245347
2329,2,1,63,0.2,274221
2495,1,3,66,21.6,254190
1951,3,1,16,0.9,322740
1952,3,3,16,7.8,297464
1976,1,1,73,3.0,260107
1239,3,3,42,26.4,137756
1704,2,2,35,1.3,236399
1701,1,2,22,21.7,186633
2049,4,1,51,33.1,216412
2450,3,3,60,2.5,384897
1112,4,1,0,0.9,262477
1719,4,2,44,8.5,325789
2763,5,3,79,2.4,476438
1317,5,3,22,3.1,237225
1266,4,3,22,10.8,237720
1931,5,1,70,17.0,214316
2349,3,3,4,7.4,346679
1807,5,3,31,13.1,280028
2664,4,1,36,1.0,357109
2357,4,1,63,20.0,254244
2347,5,3,10,1.1,407188
2160,3,1,34,1.0,277934
3313,4,2,12,2.4,528857
1667,2,1,63,6.0,176985
498,5,1,50,1.5,233849
2843,4,3,39,20.6,371877
1502,4,1,31,2.0,259480
1870,3,3,12,17.2,242519
2651,5,3,73,20.0,410217
759,1,1,51,4.5,138297
986,1,1,25,18.0,130715
759,3,3,33,13.3,96962
1284,4,2,58,4.2,218042
2086,5,1,57,13.4,254219
2141,3,3,36,9.2,367385
1980,4,1,24,2.7,347438
882,3,1,52,29.7,90921
450,5,3,52,7.8,50000
1835,4,1,47,14.9,219658
1493,3,2,5,4.5,291845
2099,5,3,37,8.6,384154
2256,1,2,49,2.3,333475
1890,5,2,76,2.9,229209
2294,1,2,42,11.5,295804
1949,2,1,27,16.3,288324
2145,5,2,44,32.8,220544
1342,4,3,14,5.6,262847
