study_hours_per_week,attendance_pct,sleep_hours,practice_tests_taken,exam_score
3.2,100.0,8.0,4,74.9
7.0,83.9,6.6,1,73.2
12.9,87.5,3.7,5,84.2
3.5,99.1,4.2,9,81.3
10.2,74.2,5.7,6,69.2
8.0,73.1,7.7,5,55.8
5.1,82.6,7.1,5,64.8
9.3,94.9,7.2,3,81.4
4.7,69.0,9.5,3,64.3
7.1,65.0,5.4,1,58.3
3.0,94.9,7.0,4,73.6
1.2,77.8,7.4,3,57.5
5.7,80.3,6.0,2,66.4
5.6,62.7,7.0,1,50.1
5.9,76.9,4.9,7,59.4
10.5,84.9,8.8,4,91.0
11.9,96.2,6.1,4,83.8
8.5,75.7,9.6,4,71.6
10.2,100.0,7.0,3,77.3
4.8,76.8,8.3,0,56.0
4.1,76.8,6.9,3,56.0
9.4,100.0,7.0,3,71.8
3.8,87.5,6.2,2,51.7
3.6,78.4,7.2,0,54.6
24.6,83.1,7.4,4,100.0
7.5,100.0,6.0,2,79.0
5.6,100.0,6.8,1,70.2
5.3,75.2,6.2,2,60.9
3.1,84.5,10.0,5,64.5
8.4,86.1,6.9,3,71.7
6.2,73.2,9.0,5,72.0
11.7,84.3,6.7,3,82.7
9.6,85.1,7.3,5,77.5
6.1,98.7,5.3,5,78.3
2.1,99.5,6.4,2,61.6
7.6,81.0,7.3,3,74.3
7.2,82.4,9.1,2,68.1
1.8,93.0,7.3,1,47.9
9.0,78.0,8.8,4,77.3
3.7,92.1,7.8,3,70.7
12.0,83.9,9.1,1,83.8
7.0,73.4,6.9,2,66.1
5.2,73.5,10.0,0,60.5
8.1,100.0,6.4,1,68.0
7.9,83.1,6.0,6,76.1
7.7,100.0,5.4,4,77.1
11.2,78.8,10.0,5,80.7
8.4,88.5,8.1,2,80.5
4.9,100.0,6.6,3,64.1
6.3,72.3,8.6,6,67.0
14.1,62.2,7.9,4,89.0
4.7,100.0,9.6,4,80.8
8.9,75.1,5.0,4,65.5
11.4,84.8,6.7,4,80.9
9.4,78.0,6.4,2,70.2
7.6,88.2,4.4,2,49.1
8.2,73.6,8.4,2,63.4
9.7,82.8,6.6,1,70.4
4.7,90.4,8.0,2,64.4
7.2,72.9,10.0,2,71.0
19.4,76.6,6.5,6,100.0
9.1,80.8,6.5,4,70.6
7.7,67.9,7.2,1,55.9
6.0,79.9,8.3,3,69.6
4.7,86.4,6.3,2,60.2
8.3,80.2,6.2,2,66.5
8.6,81.7,8.4,2,70.8
7.0,84.8,7.5,1,80.7
23.3,77.1,4.3,2,81.2
4.9,93.3,5.4,1,59.8
4.3,100.0,9.0,3,72.3
6.0,79.4,7.5,5,64.3
7.1,90.8,6.0,1,72.3
4.5,82.1,6.8,1,64.8
8.2,89.4,7.0,1,70.3
8.7,100.0,8.0,2,76.7
10.2,91.1,5.2,3,74.4
5.5,63.7,5.9,2,54.7
13.5,90.4,7.4,2,83.6
9.9,99.8,6.9,2,77.8
4.9,82.3,7.7,3,66.7
4.5,96.9,5.4,2,68.5
6.2,76.7,7.5,3,58.2
8.7,67.2,8.4,6,67.0
9.3,86.7,7.6,2,64.0
9.9,63.9,7.2,3,73.5
18.8,82.1,6.9,3,94.4
2.3,100.0,5.9,3,65.6
2.5,62.1,6.9,4,44.4
6.9,69.6,8.6,5,80.1
18.0,72.6,6.8,4,85.6
10.5,84.2,5.8,3,75.2
4.1,80.6,6.4,3,65.7
8.0,100.0,7.3,2,69.8
6.7,96.5,6.5,0,64.2
6.5,90.9,7.6,3,72.6
5.5,86.7,7.7,2,83.6
7.7,89.7,8.2,5,79.0
12.3,74.7,8.9,1,86.9
5.7,95.3,8.3,3,79.7
9.9,71.7,5.8,2,69.4
10.8,95.0,5.8,5,75.5
13.5,99.2,6.9,2,92.6
4.5,87.5,6.4,7,60.4
7.4,82.9,5.5,4,77.6
5.1,89.8,6.4,6,71.3
7.7,50.7,6.4,6,45.9
7.7,88.6,6.1,2,66.9
3.9,83.6,6.6,6,69.6
7.9,84.4,8.5,2,70.9
19.3,93.5,7.3,0,98.6
9.4,84.1,10.0,3,74.2
3.4,71.3,7.2,4,50.9
4.3,83.3,6.6,2,60.6
7.2,85.8,7.0,2,68.7
4.4,86.4,7.3,4,64.2
13.1,86.9,7.6,6,95.4
3.2,97.5,9.7,7,71.0
9.4,72.0,5.9,4,71.0
2.8,87.1,8.1,1,60.8
7.1,100.0,7.3,1,63.1
4.0,64.2,5.0,4,45.6
10.2,87.2,8.0,2,77.3
12.0,78.0,8.6,1,89.4
8.7,80.6,5.9,3,72.7
12.3,74.1,7.0,2,64.8
1.5,83.0,4.8,3,34.2
7.9,100.0,5.4,2,76.4
9.3,69.8,8.4,2,69.3
9.9,71.0,6.4,3,76.2
2.3,69.4,5.6,2,44.6
9.0,100.0,7.3,4,82.8
10.0,79.5,6.3,1,74.7
7.8,84.7,6.4,2,65.7
3.4,80.2,8.0,3,59.3
5.4,73.7,5.5,6,63.6
13.2,82.2,5.8,1,79.5
12.4,100.0,7.2,3,86.2
9.2,100.0,8.3,3,87.3
10.3,74.8,8.6,0,68.6
11.7,92.8,6.1,5,75.1
9.2,75.0,8.2,8,91.4
13.0,63.7,6.0,3,68.9
12.8,97.2,9.4,4,87.9
22.3,98.9,5.5,2,100.0
5.6,97.6,8.7,3,74.1
5.6,79.4,6.1,3,60.5
1.0,83.0,9.6,1,57.8
8.8,94.0,7.8,4,78.8
17.5,89.7,5.7,5,94.5
13.5,80.3,6.3,2,64.4
11.0,65.6,8.0,6,88.1
13.9,86.4,8.4,7,91.4
9.4,97.9,6.9,1,79.3
6.3,70.6,7.1,1,51.8
19.7,92.7,8.0,5,100.0
9.1,89.0,7.2,2,69.8
12.6,94.0,5.3,0,85.8
1.5,95.5,5.9,0,51.7
1.7,76.7,7.3,3,60.3
8.0,65.6,8.6,6,67.7
4.4,78.6,9.1,2,61.2
8.4,95.7,8.0,1,73.4
5.6,78.5,7.4,6,76.6
23.9,76.7,8.0,4,93.5
12.1,63.1,6.1,2,61.5
14.6,100.0,6.8,2,77.0
1.9,94.9,5.9,3,53.6
10.9,94.2,5.4,3,72.9
6.7,96.6,7.4,2,62.3
14.7,91.9,7.2,4,85.3
10.1,82.1,7.9,4,65.7
7.2,83.0,7.7,3,64.1
3.7,79.9,7.3,5,71.0
7.9,100.0,7.7,4,81.6
13.0,91.7,6.9,3,85.2
15.1,79.4,7.5,2,77.9
6.1,90.6,6.1,2,56.9
21.9,72.9,7.5,0,86.2
12.5,100.0,7.9,2,86.0
4.4,77.1,6.1,3,64.7
3.9,91.0,7.1,1,67.5
6.9,97.8,6.2,1,73.0
6.1,89.6,6.3,4,64.6
9.4,86.1,5.5,3,72.3
7.5,85.1,8.6,1,68.6
6.3,84.3,8.4,3,68.9
2.9,78.1,7.7,3,71.7
10.3,79.6,9.6,0,64.1
2.7,100.0,6.8,6,67.9
12.5,83.7,10.0,1,90.3
2.1,75.6,6.7,3,46.3
2.6,78.8,7.3,2,53.3
4.4,98.2,6.5,3,64.4
5.8,93.1,7.5,3,69.0
5.1,91.7,8.1,3,60.1
5.8,81.9,6.9,5,71.7
8.5,91.9,9.3,3,82.9
4.5,77.3,7.3,5,67.7
8.5,81.9,7.4,2,65.3
1.5,96.6,5.8,3,60.1
4.4,95.5,7.5,3,63.0
2.6,73.2,6.8,2,52.1
12.5,74.7,6.2,5,91.4
4.8,86.3,6.0,1,61.1
10.0,100.0,10.0,3,79.0
2.3,62.0,6.7,1,48.9
15.0,88.3,5.1,6,79.9
7.7,68.5,6.1,4,57.6
18.7,77.4,6.9,1,82.0
7.3,80.6,7.7,3,66.9
2.9,80.0,7.7,0,61.6
4.1,78.6,7.9,0,61.7
6.4,85.1,6.2,3,69.7
4.2,78.6,7.4,4,56.7
11.8,67.5,5.9,1,65.2
7.6,94.4,6.2,5,76.8
4.2,94.0,5.8,3,60.6
10.9,95.1,5.5,4,78.0
6.0,66.5,8.4,4,67.2
10.7,88.6,7.9,3,77.8
5.5,93.1,8.3,1,69.7
9.6,72.6,7.1,2,78.6
5.9,85.1,8.0,8,74.7
11.8,83.6,4.7,3,81.9
2.3,100.0,8.1,3,70.0
3.5,100.0,7.2,6,62.9
6.8,65.0,7.8,2,55.2
5.0,100.0,7.5,5,68.9
5.8,74.0,5.7,1,52.6
10.2,96.8,5.1,3,76.0
5.7,96.6,6.1,4,74.0
8.7,73.1,7.7,3,77.4
4.4,90.9,7.9,2,67.9
2.0,83.7,5.2,2,51.0
10.7,91.7,5.7,2,63.1
16.7,87.8,6.1,1,86.6
8.2,99.4,6.5,0,71.9
7.0,85.9,5.2,1,64.6
7.8,83.0,5.2,4,80.8
14.0,98.2,5.9,3,94.0
8.2,92.0,7.1,2,77.8
10.9,93.8,5.5,3,72.0
10.7,77.0,6.8,3,70.8
12.4,72.5,8.4,5,80.8
