ad_spend,foot_traffic,discount_pct,day_of_week,daily_sales
83,365,0,3,4149
113,587,10,2,8205
214,486,10,3,8174
116,686,0,1,4985
279,432,0,4,5684
231,348,0,4,4506
218,320,25,3,10078
196,160,0,6,4413
130,364,0,6,4251
245,549,5,6,9417
128,478,0,0,5213
286,403,0,6,5325
350,271,0,2,4369
199,429,10,3,6833
329,532,10,2,9790
114,456,10,1,7303
232,422,15,6,9035
184,296,0,4,4716
260,513,20,6,11687
65,20,10,6,4302
253,450,15,2,9561
136,734,10,5,11156
189,204,5,3,4091
422,369,0,3,6466
236,399,5,5,6764
222,340,0,4,4470
214,535,5,6,9615
299,461,0,5,8200
264,420,0,4,5326
215,504,20,6,10065
203,402,10,0,8088
197,813,10,5,12279
180,420,0,2,5346
102,425,10,3,6377
234,178,20,5,7734
142,329,10,1,5864
170,549,10,6,8363
272,226,5,3,4538
182,120,0,2,2456
175,404,10,2,6363
199,578,25,2,11943
160,406,5,6,7824
418,356,5,0,6994
391,158,5,3,3909
387,459,5,5,8577
214,486,25,3,10373
138,168,10,3,3228
275,547,5,2,8088
161,500,5,0,6791
286,547,5,4,9849
135,476,0,6,7663
221,485,5,3,7356
304,468,15,3,8841
165,513,10,0,7847
164,164,0,6,2577
89,205,10,6,3865
137,304,10,6,5743
213,383,0,2,4777
227,450,10,4,5411
242,442,10,3,6785
72,545,15,1,8387
161,549,0,1,6040
94,287,0,2,2928
208,431,5,3,5852
80,290,0,0,5062
108,376,5,4,5908
262,442,15,3,7732
144,20,0,6,1990
331,713,5,1,9211
245,474,25,0,9592
165,323,5,2,4301
281,651,5,6,10288
172,355,10,2,5842
256,417,0,4,4296
134,337,0,5,4987
288,615,10,1,9167
84,386,5,4,3565
108,419,0,1,4792
117,556,0,2,6941
140,476,15,2,8578
216,393,0,4,6931
186,544,10,6,10093
257,730,5,1,10461
306,441,10,2,9992
80,415,0,5,6281
323,422,0,3,5690
170,570,5,3,8239
383,322,10,4,6084
131,364,0,0,4472
68,200,5,6,3835
246,246,5,2,4883
239,333,0,4,3839
109,393,10,3,5762
114,630,0,5,8123
265,470,5,4,6587
221,281,0,1,2145
162,305,5,1,3510
231,579,0,6,6603
211,546,5,3,6472
120,404,5,1,5993
274,342,20,1,8428
251,546,5,0,8351
188,271,15,6,7953
265,451,0,6,7498
405,695,5,2,9850
114,427,0,1,5106
166,299,5,2,5761
169,453,10,0,7976
263,339,15,3,7599
139,219,10,4,5968
256,491,10,6,6575
147,545,0,2,5890
107,360,0,1,3984
193,351,15,0,8190
